id,treatment_id,date,reason_for_taking,reviewer_info,effectiveness,easeofuse,satsfaction,comment,people_find_helpful
1,1,3/19/2017 10:39:35 AM,Respiratory conditions,45-54 Male  on Treatment for less than 1 month (Consumer),5,5,5,"I had Bronchitis, and it cleared up the congestion and cough.  So far it works great.",1
2,1,9/12/2016 5:05:54 PM,Respiratory conditions,"Inwoodrosie, 55-64 on Treatment for less than 1 month (Consumer)",5,5,5,"I have been using this for years. Every time I feel that a cold is coming on or there is an epidemic in my office (as often happens when you work in a highly populated office with open cubicles) I start on a regimen of astragulus and either I wind up not getting sick, or it comes and goes quickly. I use it for all of my family, including my daughter who is a very chronic asthmatic and cannot afford to get upper respiratory illnesses. I highly recommend it.",2
3,1,5/10/2016 7:22:30 PM,Chronic fatigue syndrome (CFS),"Blueskygal, 55-64 Female  on Treatment for 10 years or more (Consumer)",5,5,5,Astagulus is one of the best herbs for immune system. I have been taking it for more than 10 years to cope with adrenal fatigue. Normally takes about 10 days to kick in but works to restore energy. Just discovered I have Adrenal Fatigue for 20 years! and this was an herb I used to reduce side effects of adrenal fatigue and immune system.,5
4,1,6/22/2015 7:03:45 PM,Asthma,65-74 Female  on Treatment for 10 years or more (Consumer),5,5,5,"I was told by the doctors at Stanford Hospital when I had a coma from asthma, caused by environmental poisoning that attacked my kidney, that the fact that I took Astragalus for 30 years and had Accupuncture on a regular basis saved my life.",3
5,1,5/27/2015 7:41:50 PM,Age-related fatigue,"kat, 55-64 Female  (Consumer)",5,5,5,,2
6,1,5/9/2015 11:58:12 PM,Kidney disease,"Mike0050, 65-74 Male  on Treatment for less than 1 month (Consumer)",4,4,4,"I was instructed to take this for CKD. I take 1 teaspoon a day which is approximately 3.5 - 4 grams boiling it in a liter of water as a tea and drink throughout the day. Each day I take blood pressure readings (I have been taking meds for years but blood pressure wanders up and down in the 130-140/55-65 range)and after a week my blood pressure readings were averaging 126/56 which I feel is significant. I stopped taking it until I can talk to a nephrologist who I'll see this week since I am not sure of what she will say about it. I hope to resume soon as it does seem to reduce blood pressure and give me an added lift. Mine is from Starwest, USDA certified organic.",9
7,1,2/18/2015 5:19:43 PM,Age-related fatigue,75 or over Male  on Treatment for 1 to less than 2 years (Consumer),5,5,3,getting hypoglycemic reactions,0
8,1,2/18/2015 4:23:52 AM,Chemotherapy,"Vicki, 55-64 Female  on Treatment for 1 to 6 months (Consumer)",5,5,5,"I took Astroforte during my four month chemotherapy treatment for breast cancer, with the blessing of my oncologist.I worked full-time in a large open plan office. I did not suffer a cold or experience a white blood count too low for me to continue with my chemotherapy. Fatigue, yes and  other side-effects but I had felt 'up' most of the time. That was five years ago and I take Astroforte as a boost at least once a year.",1
9,1,12/10/2014 12:35:12 AM,Age-related fatigue,"astragalus2, 55-64 Male  on Treatment for 1 to 6 months (Consumer)",2,1,3,Blood pressure. Liver health. Overall. Good health,2
10,1,10/28/2014 3:56:23 PM,Cancer chemotherapy side effects,"r167933, 45-54 Male  on Treatment for 1 to 6 months (Consumer)",4,5,4,,1
11,1,10/10/2014 8:03:22 AM,Respiratory tract infections,"maggi, 65-74 Female  on Treatment for 1 to less than 2 years (Consumer)",5,4,5,For 5 years I had frequent chest infections due to low immunity and received various orthodox treatments to boost immune system.  After starting on astragalus I suffered considerably less chest infections - ie from 6 a year to 2.  I still take it and haven't had an infection for 8 months.,7
12,1,8/5/2014 10:25:12 PM,Malignant melanoma,"heritage, 65-74 Male  on Treatment for 10 years or more",5,5,5,stage 4 melanoma 12 years ago had interferon for 6 months have taken astragulus for 12 years,4
13,1,6/20/2014 6:13:22 PM,Other,"Peppabek, 25-34 Female  on Treatment for less than 1 month",4,5,4,"I used ki immune defence & energy formula by Martin & pleasance to help recover after having tonsillitis. After being on heavy anti biotics I felt very run down. My traditional vitamin supplements I take were not working. After only a few days of taking double the recommended dose I had energy, felt a lot better and a general overall well being. Only side effects I had was fluid retention and stools changing colour. I highly recommend this supplement to anyone who is feeling run down due to sickness. Whether it's post viral fatigue or general feeling of being run down. I believe it really works. It contains a mixture of astragalus+shiitake+olive leaf. ",14
14,1,5/1/2014 1:01:40 PM,Allergies,55-64 Female  on Treatment for less than 1 month (Consumer),5,5,5,no side effects and feel great,0
15,1,11/1/2013 7:53:32 PM,Colds and flu,"abcdefg, 55-64 Female  on Treatment for less than 1 month (Consumer)",4,4,2,"I work with small children and am constantly exposed to viruses so I took it to strenghthen my immune system. I haven't gotten a cold but sadly don't think I'll be able to continue using it because of side effects of anxiety, some nausea and weakness since using it. Plus a ringing in my ears and hearing my heart beat in my ears.  Can't say for sure it's related to astragalus use but that's when I get it, after I take it.",11
16,1,10/9/2013 7:43:28 PM,Colds and flu,"Amunet, 25-34 Female  on Treatment for less than 1 month (Consumer)",5,5,5,"i had the flu and i used astragalus with reishi mushroom, these two boost the immune syste, elderflower, which is good for the cold and flu and poke root which only about a teaspoon should be used for any type of muscle aches and it was gone in about 3 days without any OTC medication. ",6
17,1,9/26/2013 10:41:28 PM,Other,"frank, 35-44 Male  on Treatment for 1 to 6 months (Consumer)",5,5,5,"I used for my dog because the vet said his blood count was low.And with in five Weeks with this med. It back to par. Thank to this med. Any questions please email at frankwilliamsmith@Yahoo.com
",18
18,1,9/18/2013 7:00:13 PM,Skin cancer,"none, 55-64 Male  on Treatment for less than 1 month (Consumer)",4,4,4,"melanoma skin cancer, Astragalus along with aloe topical greatly improved color and size, quite amazing...",8
19,1,5/18/2013 10:48:35 AM,Respiratory tract infections,45-54 Female  on Treatment for 2 to less than 5 years,5,5,5,"I am a R.N, which requires exposure to all community acquired diseases.  This herb has been a God sent to me.  I have been well for two years with no sign or symptom of any cold, flu, etc.  This herb is amazing. I cannot say enough good things about this herb.",17
