id,treatment_id,date,reason_for_taking,reviewer_info,effectiveness,easeofuse,satsfaction,comment,people_find_helpful
1,1,10/21/2018 10:59:44 PM,Pityriasis lichenoides chronica (PLC),"Edgar Markosyan , 25-34 Male  on Treatment for 1 to 6 months (Consumer)",5,5,5,"When I got the first symptoms of PLC, I thought of it as hives. Then it started spreading and changing color from red dots to brown. Went to a doctor, gave a full blood test. Results were perfect, no issues. Then was advised to go to a dermatologist. First one, was clueless, second, elderly knew what it was but new cure. (last encounter was 30 years ago.) Third one was a charm. She assigned me to a photo therapy. Just in case, I have consulted with a friend of mine, who is an acupuncturist and herbalist, advice me to use this as a treatment. I took his advice and started talking bromelain. Photo therapy along with bromelain, helped me to get rid of PLC.",0
2,1,4/22/2018 3:50:22 PM,Pain,"Wild Cherry, 55-64 on Treatment for 1 to 6 months (Consumer)",2,2,1,"I started taking Bromelain after doing research and finding it is allegedly helpful for sinusitis due to allergies, as well as muscle pain. 6 weeks later, I am still suffering from sinusitis and back muscle pain. I have taken to using nasal wash, which has been more effective with my sinuses than the bromelain, and regular pain killer now for the back muscles.  I am never free of pain. I started out taking 1/2 tablet of Bromelain because I have difficulty swallowing large pills, but then began taking both halves one after another and nothing changed with the higher dosage. It hasn't helped with the swelling in my sinuses or any inflammation in my back muscles. If anyone asked me to recommend Bromelain I would simply let them make their own choice because perhaps it would help them, but I won't be wasting my money on Bromelain anymore. ",5
3,1,2/14/2018 12:49:42 PM,Arthritis,65-74 Male  on Treatment for less than 1 month (Consumer),4,5,5,reduced pain and swelling of joints,0
4,1,7/28/2017 11:49:52 AM,Sinusitis,55-64 Male  on Treatment for 1 to 6 months (Consumer),5,5,5,"I use bromelain to help reduce sinus congestion.  For me, it is highly effective.  At night, my sinuses will clog up.  With bromelain, it is greatly reduced or eliminated.  But the overall benefit is undeniable along with saline nasal rinses which I've done for years, but not as effective alone.  I take it 4x every 24 hours for day and night relief. ",1
5,1,6/16/2017 9:15:30 PM,Arthritis,75 or over Female  on Treatment for less than 1 month (Consumer),1,1,1,have not tried yet,0
6,1,5/15/2017 1:57:14 PM,Urinary tract infections (UTIs),"The Vitamin Shoppe Bromelain, 25-34 Female  on Treatment for less than 1 month (Consumer)",4,5,5,,0
7,1,4/2/2016 9:06:32 AM,Arthritis,"Lynnie, 55-64 on Treatment for 1 to less than 2 years (Consumer)",5,5,5,"Severe arthritis that suddenly flared up, crippling me. During each subsequent flareup, I've needed prednisone. Been on diclofenac for a couple of years, plus various narcotic pain relievers, none of which did much good. Started on Medizym from Enzyme Superstore, which contains bromelain, trypsin and rutin. It took a few weeks, but my pain level dropped significantly. No flareups in more than a year, and I took myself off of all but occasional diclofenacs. Also take cucurmin (turmeric), but it was the Medizym that did what the prescription junk couldn't. Not pain free and don't expect to be, but much better. ",3
8,1,1/21/2016 10:55:12 AM,Other,"Pam, 65-74 Female  on Treatment for 1 to 6 months (Consumer)",5,5,5,"Bromelain is an ingredient in the Papaya Enzyme that I take to reduce indegestion, and it works very, very well.
",22
9,1,10/29/2015 4:59:00 AM,Pain,"arthrisolution, 55-64 Female  on Treatment for less than 1 month (Consumer)",3,4,2,Increased my heart rate way too much.  Will stop inmediately.  Dose 150mg twice daily included in artritis solution brand.,6
10,1,5/24/2015 6:09:35 PM,Pain,"Craig11, 55-64 Male  on Treatment for 1 to 6 months (Consumer)",5,5,5,"I have found taking 3 x 500mg capsules per day of 2,000 GDU/GRAM Bromelain, before, with, or after each meal, to be really helpful in reducing inflammatory pain response in the GI (the cause of which is not fully known but thought to be either an allergic response to Cr, Co, and Ni heavy metal ions from a metal/metal THJR artifact, and/or possible allergic reaction to fish oil/krill supplementation, and/or genetic predisposition to inadequate digestive capability for fatty proteins, or potential combinations of these malfactors).

The taking of the Bomelain has shown a reduction of CRP's measured in blood from as high as '47' (during an acute inflammatory episode of the GI) to as low as '1' in a matter of one week.

Before taking the Bromelain the period of elevated CRP (as one marker)in blood, and pain and GI inflammation, was significantly extended during such an episode.

Therefore it appears to be a helpful substance in this instance.",5
